date,volume,open,close,high,low,symbol,ratio,ratio_adj,split_factor,volume_adj,open_adj,close_adj,high_adj,low_adj,dollar_volume
2010-06-29,18783276.0,19.0,23.89,25.0,17.54,TSLA,,,5.0,93916380.0,3.8,4.7780000000000005,5.0,3.508,448732463.64
2010-06-30,17194394.0,25.79,23.83,30.4192,23.3,TSLA,,,5.0,85971970.0,5.1579999999999995,4.766,6.08384,4.66,409742409.02
2010-07-01,8229863.0,25.0,21.96,25.92,20.27,TSLA,,,5.0,41149315.0,5.0,4.392,5.184,4.054,180727791.48000002
2010-07-02,5141807.0,23.0,19.2,23.1,18.71,TSLA,,,5.0,25709035.0,4.6,3.84,4.62,3.742,98722694.39999999
2010-07-06,6879296.0,20.0,16.11,20.0,15.83,TSLA,,,5.0,34396480.0,4.0,3.222,4.0,3.166,110825458.56
2010-07-07,6924914.0,16.4,15.8,16.63,14.98,TSLA,,,5.0,34624570.0,3.28,3.16,3.3259999999999996,2.996,109413641.2
2010-07-08,7719539.0,16.14,17.46,17.52,15.57,TSLA,,,5.0,38597695.0,3.228,3.492,3.504,3.114,134783150.94
2010-07-09,4058606.0,17.58,17.4,17.9,16.55,TSLA,,,5.0,20293030.0,3.5159999999999996,3.4799999999999995,3.5799999999999996,3.31,70619744.39999999
2010-07-12,2203570.0,17.95,17.05,18.07,17.0,TSLA,,,5.0,11017850.0,3.59,3.41,3.614,3.4,37570868.5
2010-07-13,2680060.0,17.3938,18.14,18.64,16.9,TSLA,,,5.0,13400300.0,3.47876,3.628,3.728,3.38,48616288.4
2010-07-14,4196110.0,17.94,19.84,20.15,17.7601,TSLA,,,5.0,20980550.0,3.588,3.968,4.029999999999999,3.55202,83250822.4
2010-07-15,3745297.0,19.94,19.89,21.5,19.0,TSLA,,,5.0,18726485.0,3.9880000000000004,3.978,4.3,3.8,74493957.33
2010-07-16,2621210.0,20.7,20.64,21.3,20.05,TSLA,,,5.0,13106050.0,4.14,4.128,4.26,4.01,54101774.4
2010-07-19,2486489.0,21.37,21.91,22.25,20.92,TSLA,,,5.0,12432445.0,4.274,4.382,4.45,4.184,54478973.99
2010-07-20,1825231.0,21.85,20.3,21.85,20.05,TSLA,,,5.0,9126155.0,4.37,4.0600000000000005,4.37,4.01,37052189.300000004
2010-07-21,1253442.0,20.66,20.22,20.9,19.5,TSLA,,,5.0,6267210.0,4.132,4.044,4.18,3.9,25344597.24
2010-07-22,962345.0,20.5,21.0,21.25,20.37,TSLA,,,5.0,4811725.0,4.1,4.2,4.25,4.074,20209245.0
2010-07-23,654049.0,21.19,21.29,21.56,21.06,TSLA,,,5.0,3270245.0,4.238,4.258,4.311999999999999,4.212,13924703.209999999
2010-07-26,922453.0,21.5,20.95,21.5,20.3,TSLA,,,5.0,4612265.0,4.3,4.1899999999999995,4.3,4.0600000000000005,19325390.349999998
