date,volume,open,close,high,low,symbol,ratio,ratio_adj,split_factor,volume_adj,open_adj,close_adj,high_adj,low_adj,dollar_volume
2005-01-03,15857592.0,197.4,202.71,203.64,195.46,GOOG,,,0.5,7928796.0,394.8,405.42,407.28,390.92,3214492474.32
2005-01-04,13752396.0,201.33,194.5,202.93,193.48,GOOG,,,0.5,6876198.0,402.66,389.0,405.86,386.96,2674841022.0
2005-01-05,8231345.0,193.45,193.51,196.9,192.23,GOOG,,,0.5,4115672.5,386.9,387.02,393.8,384.46,1592847570.9499998
2005-01-06,10384303.0,195.25,188.55,195.9,187.72,GOOG,,,0.5,5192151.5,390.5,377.1,391.8,375.44,1957960330.65
2005-01-07,9665775.0,190.64,193.85,194.25,188.78,GOOG,,,0.5,4832887.5,381.28,387.7,388.5,377.56,1873710483.75
2005-01-10,7554795.0,194.5,195.06,198.1,191.83,GOOG,,,0.5,3777397.5,389.0,390.12,396.2,383.66,1473638312.7
2005-01-11,6959944.0,195.62,193.54,197.71,193.18,GOOG,,,0.5,3479972.0,391.24,387.08,395.42,386.36,1347027561.76
2005-01-12,8361295.0,194.33,195.38,195.93,190.5,GOOG,,,0.5,4180647.5,388.66,390.76,391.86,381.0,1633629817.1
2005-01-13,6852373.0,195.38,195.33,197.39,194.05,GOOG,,,0.5,3426186.5,390.76,390.66,394.78,388.1,1338474018.0900002
2005-01-14,9642747.0,196.0,199.97,200.01,194.13,GOOG,,,0.5,4821373.5,392.0,399.94,400.02,388.26,1928260117.59
2005-01-18,13193671.0,200.89,203.9,205.02,198.66,GOOG,,,0.5,6596835.5,401.78,407.8,410.04,397.32,2690189516.9
2005-01-19,11350883.0,204.64,197.3,205.3,196.71,GOOG,,,0.5,5675441.5,409.28,394.6,410.6,393.42,2239529215.9
2005-01-20,8951047.0,192.58,193.92,196.25,192.0,GOOG,,,0.5,4475523.5,385.16,387.84,392.5,384.0,1735787034.2399998
2005-01-21,9294685.0,194.44,188.28,195.36,188.12,GOOG,,,0.5,4647342.5,388.88,376.56,390.72,376.24,1750003291.8
2005-01-24,14031432.0,188.69,180.72,189.33,180.32,GOOG,,,0.5,7015716.0,377.38,361.44,378.66,360.64,2535760391.04
2005-01-25,10692813.0,182.2,177.12,182.24,176.29,GOOG,,,0.5,5346406.5,364.4,354.24,364.48,352.58,1893911038.56
2005-01-26,12343235.0,179.27,189.24,189.41,179.15,GOOG,,,0.5,6171617.5,358.54,378.48,378.82,358.3,2335833791.4
2005-01-27,6630721.0,188.76,188.08,188.86,185.2,GOOG,,,0.5,3315360.5,377.52,376.16,377.72,370.4,1247106005.68
2005-01-28,12207052.0,190.02,190.34,194.7,186.34,GOOG,,,0.5,6103526.0,380.04,380.68,389.4,372.68,2323490277.68
2005-01-31,9600561.0,193.69,195.62,196.36,191.72,GOOG,,,0.5,4800280.5,387.38,391.24,392.72,383.44,1878061742.82
2005-02-01,19153969.0,194.38,191.9,203.75,190.63,GOOG,,,0.5,9576984.5,388.76,383.8,407.5,381.26,3675646651.1
2005-02-02,32871496.0,215.55,205.96,216.8,203.66,GOOG,,,0.5,16435748.0,431.1,411.92,433.6,407.32,6770213316.16
2005-02-03,12966585.0,205.99,210.86,213.37,205.81,GOOG,,,0.5,6483292.5,411.98,421.72,426.74,411.62,2734134113.1000004
2005-02-04,14823134.0,206.47,204.36,207.75,202.6,GOOG,,,0.5,7411567.0,412.94,408.72,415.5,405.2,3029255664.2400002
2005-02-07,12943698.0,205.26,196.03,206.4,195.51,GOOG,,,0.5,6471849.0,410.52,392.06,412.8,391.02,2537353118.94
2005-02-08,11492516.0,196.96,198.64,200.02,194.53,GOOG,,,0.5,5746258.0,393.92,397.28,400.04,389.06,2282873378.24
2005-02-09,17305485.0,200.76,191.58,201.6,189.46,GOOG,,,0.5,8652742.5,401.52,383.16,403.2,378.92,3315384816.3
2005-02-10,18960975.0,191.97,187.98,192.21,185.25,GOOG,,,0.5,9480487.5,383.94,375.96,384.42,370.5,3564284080.5
2005-02-11,13125937.0,186.66,187.4,192.32,186.07,GOOG,,,0.5,6562968.5,373.32,374.8,384.64,372.14,2459800593.8
2005-02-14,38451619.0,182.85,192.99,193.08,181.0,GOOG,,,0.5,19225809.5,365.7,385.98,386.16,362.0,7420777950.81
2005-02-15,25832148.0,193.605,195.23,199.84,193.08,GOOG,,,0.5,12916074.0,387.21,390.46,399.68,386.16,5043210254.04
2005-02-16,16653321.0,194.7,198.41,199.33,194.3,GOOG,,,0.5,8326660.5,389.4,396.82,398.66,388.6,3304185419.61
2005-02-17,10416293.0,197.83,197.9,199.75,196.81,GOOG,,,0.5,5208146.5,395.66,395.8,399.5,393.62,2061384384.7
2005-02-18,8500046.0,198.51,197.95,198.84,196.66,GOOG,,,0.5,4250023.0,397.02,395.9,397.68,393.32,1682584105.6999998
2005-02-22,13456492.0,196.5,191.37,198.9,190.39,GOOG,,,0.5,6728246.0,393.0,382.74,397.8,380.78,2575168874.04
2005-02-23,15591111.0,193.3,193.95,194.48,188.66,GOOG,,,0.5,7795555.5,386.6,387.9,388.96,377.32,3023895978.45
